ONA_1:input 1/mode 1/transmission: Abs(TE transmission) vs wavelength

wavelength(nm), Abs(TE transmission)
1559.58, 0.225151
1559.58, 0.225109
1559.58, 0.225066
1559.58, 0.225023
1559.58, 0.22498
1559.58, 0.224937
1559.58, 0.224895
1559.58, 0.224852
1559.58, 0.224809
1559.58, 0.224767
1559.58, 0.224724
1559.58, 0.224681
1559.58, 0.224639
1559.58, 0.224596
1559.58, 0.224554
1559.58, 0.224511
1559.58, 0.224469
1559.58, 0.224426
1559.58, 0.224384
1559.58, 0.224341
1559.58, 0.224299
1559.58, 0.224256
1559.58, 0.224214
1559.58, 0.224172
1559.58, 0.224129
1559.57, 0.224087
1559.57, 0.224045
1559.57, 0.224003
1559.57, 0.22396
1559.57, 0.223918
1559.57, 0.223876
1559.57, 0.223834
1559.57, 0.223792
1559.57, 0.223749
1559.57, 0.223707
1559.57, 0.223665
1559.57, 0.223623
1559.57, 0.223581
1559.57, 0.223539
1559.57, 0.223497
1559.57, 0.223455
1559.57, 0.223413
1559.57, 0.223371
1559.57, 0.223329
1559.57, 0.223288
1559.57, 0.223246
1559.57, 0.223204
1559.57, 0.223162
1559.57, 0.22312
1559.57, 0.223078
1559.56, 0.223037
1559.56, 0.222995
1559.56, 0.222953
1559.56, 0.222912
1559.56, 0.22287
1559.56, 0.222828
1559.56, 0.222787
1559.56, 0.222745
1559.56, 0.222703
1559.56, 0.222662
1559.56, 0.22262
1559.56, 0.222579
